,name,url,year,text,cast,genre,director
355,Desh Dekhi Bidesh,https://www.imdb.com/title/tt22008154/?ref_=sr_t_356,2015,missing,"'dilip rayamajhi', 'richa sharma'",action,narendrathapa
356,Julebi,https://www.imdb.com/title/tt33098802/?ref_=sr_t_357,2023,"It explores love born of choice and necessity. From the makers of Manjari and Gajabaja, this film weaves three distinct stories of human connection. A tale of hearts entangled in the complexities of life, where love knows no one path.","'nisha adhikari', 'patrika ghimire'",romance,ganeshdevpanday
357,Lukamari,https://www.imdb.com/title/tt5595416/?ref_=sr_t_358,2016,Based on a police investigation of a murder case of a school girl Rupa K.C. The case gets connected to the tenants of Musya Sahu and the hide and seek between cops and criminals starts. Two undercover veteran crime investigating agents meet co-incidentally and start sharing a same room in some place in Kathmandu valley.,"'saugat malla', 'karma shakya'","comedy, crime",shreeramdahal
358,Lau Kumude Hidyo Hero Banna,https://www.imdb.com/title/tt28626549/?ref_=sr_t_359,missing,missing,"'kumud pant', 'janaki pant'",drama,kumudpant
359,Basanta,https://www.imdb.com/title/tt33354254/?ref_=sr_t_360,2025,missing,"'swastima khadka', 'prakash saput'",drama,prakashsaput
360,A Sathi Suna,https://www.imdb.com/title/tt27459157/?ref_=sr_t_361,2023,missing,"'ramesh baniya', 'bimala giri'",crime,ramraghavacharya
361,Chiso Ashtray,https://www.imdb.com/title/tt19713108/?ref_=sr_t_362,2022,'Chiso Ashtray' is a postmodern drama about an innocent village guy freshly arrived in the capital city. His transformation from villager to urban man becomes increasingly difficult because trying to be modern takes him away from who he truly is. In the end he finds his own modernity and his place in the city.,"'divya dev', 'nabin lamsal'",drama,dineshpalpali
362,Hello Jindagi,https://www.imdb.com/title/tt10188844/?ref_=sr_t_363,2022,missing,"'bikram joshi', 'kumud pant'",drama,everestsuryabohara
363,Ranveer,https://www.imdb.com/title/tt9430574/?ref_=sr_t_364,2019,"Ranveer (Sushil Sitaula) is a young, energetic and straightforward guy from Dhangadhi and is in love with Maya (Supushpa Bhatta). He faces emotional breakdown after a life changing incident and he moves to Kathmandu. In Kathmandu, he meets Priya (Subeksha Khadka), daughter of a powerful man. Ranveer and Priya fall in love. Meanwhile, Ranveer finds out culprits of 'life changing incident' and he embarks on a journey of revenge.","'sushil sitaula', 'subeksha khadka'","action, comedy, drama",govindsinghbhandari
364,Hasi Deu Ek Phera,https://www.imdb.com/title/tt8022710/?ref_=sr_t_365,2010,"Hari, a simple villager who moves to city after his sister and her husband dies to help their son to move on from this incident.","'hari bansha acharya', 'madan krishna shrestha'","comedy, drama",shivaregmi
